Дата;Выручка (руб);Количество выданных курсов;Количество заказов;Количество покупателей;Средний чек заказа (руб);Скользящее среднее выручки (7д);Скользящее отклонение (7д);Аномальный всплеск;Аномальный провал
04.08.2026;84130.0;9;7;6;12018.57;67170.0;12358.55;False;False
05.08.2026;67110.0;8;6;6;11185.0;108739.0;93565.27;False;False
06.08.2026;62445.0;8;7;7;8920.71;177964.44;189094.0;False;False
07.08.2026;54995.0;6;5;5;10999.0;181910.95;172933.92;False;False
08.08.2026;275015.0;49;35;35;7857.57;183653.81;171842.26;False;False
09.08.2026;524091.67;92;68;68;7707.23;190485.24;167328.22;True;False
10.08.2026;205590.0;36;29;29;7089.31;191965.95;166047.29;False;False
11.08.2026;96330.0;17;12;12;8027.5;195065.24;163243.41;False;False
12.08.2026;114930.0;17;14;14;8209.29;162683.81;167175.28;False;False
13.08.2026;72810.0;9;9;9;8090.0;93968.57;55258.76;False;False
14.08.2026;76690.0;10;9;9;8521.11;69339.29;29749.71;False;False
15.08.2026;48345.0;7;5;5;9669.0;64307.86;27301.67;False;False
16.08.2026;43085.0;6;5;5;8617.0;55943.57;15720.51;False;False
17.08.2026;33185.0;4;3;3;11061.67;53054.29;13851.44;False;False
18.08.2026;61110.0;7;6;6;10185.0;46119.29;12085.39;False;False
19.08.2026;56380.0;7;5;5;11276.0;75091.43;78563.44;False;False
20.08.2026;52585.0;6;6;6;8764.17;125292.86;141648.76;False;False
21.08.2026;28145.0;3;3;3;9381.67;146848.29;136690.05;False;False
22.08.2026;251150.0;32;26;26;9659.62;158354.0;131563.88;False;False
23.08.2026;394495.0;49;39;39;10115.26;162310.43;128363.69;True;False
24.08.2026;184073.0;22;19;19;9688.05;174430.43;120010.26;False;False
25.08.2026;141650.0;18;15;15;9443.33;179009.71;113956.97;False;False
26.08.2026;84075.0;10;9;9;9341.67;156777.57;112711.1;False;False
27.08.2026;137425.0;18;10;10;13742.5;125612.57;47076.29;False;False
28.08.2026;60200.0;7;6;6;10033.33;128771.86;52124.81;False;False
29.08.2026;95525.0;13;10;10;9552.5;140947.57;64191.9;False;False
30.08.2026;176340.0;23;19;19;9281.05;159976.86;64266.31;False;False
31.08.2026;206188.0;25;19;19;10852.0;166116.14;63803.91;False;False
01.09.2026;226880.0;28;19;19;11941.05;196028.29;54237.22;False;False
02.09.2026;217280.0;28;23;23;9446.96;251622.43;107421.53;False;False
03.09.2026;180400.0;22;20;20;9020.0;283013.14;113679.2;False;False
04.09.2026;269585.0;33;26;26;10368.65;278325.57;117970.6;False;False
05.09.2026;484684.0;59;49;48;9891.51;255164.14;143012.29;True;False
06.09.2026;396075.0;54;45;45;8801.67;251781.29;144331.75;False;False
07.09.2026;173375.0;20;17;17;10198.53;227431.29;170404.69;False;False
08.09.2026;64750.0;8;6;6;10791.67;220405.67;185555.09;False;False
09.09.2026;193600.0;24;16;16;12100.0;167550.0;148611.75;False;False
10.09.2026;9950.0;1;1;1;9950.0;110418.75;87677.85;False;False
